time_iso8601,forks_cumulative
2025-12-31 00:00:00+00:00,2
2026-01-09 00:00:00+00:00,3
2026-01-12 00:00:00+00:00,4
2026-01-18 00:00:00+00:00,7
2026-01-19 00:00:00+00:00,9
2026-01-21 00:00:00+00:00,10
2026-01-22 00:00:00+00:00,11
2026-01-24 00:00:00+00:00,12
2026-01-29 00:00:00+00:00,13
2026-01-30 00:00:00+00:00,15
2026-02-01 00:00:00+00:00,16
2026-02-02 00:00:00+00:00,18
2026-02-03 00:00:00+00:00,21
2026-02-07 00:00:00+00:00,23
2026-02-08 00:00:00+00:00,30
2026-02-09 00:00:00+00:00,33
2026-02-10 00:00:00+00:00,37
2026-02-11 00:00:00+00:00,40
2026-02-12 00:00:00+00:00,44
2026-02-13 00:00:00+00:00,45
2026-02-15 00:00:00+00:00,46
2026-02-16 00:00:00+00:00,47
2026-02-17 00:00:00+00:00,48
2026-02-18 00:00:00+00:00,49
2026-02-21 00:00:00+00:00,50
2026-02-23 00:00:00+00:00,52
2026-02-24 00:00:00+00:00,53
2026-02-25 00:00:00+00:00,54
2026-02-26 00:00:00+00:00,55
2026-03-02 00:00:00+00:00,56
2026-03-03 00:00:00+00:00,59
2026-03-06 00:00:00+00:00,61
2026-03-07 00:00:00+00:00,63
2026-03-08 00:00:00+00:00,64
2026-03-09 00:00:00+00:00,65
2026-03-11 00:00:00+00:00,67
2026-03-12 00:00:00+00:00,68
2026-03-13 00:00:00+00:00,69
2026-03-15 00:00:00+00:00,71
2026-03-17 00:00:00+00:00,72
2026-03-21 00:00:00+00:00,73
2026-03-24 00:00:00+00:00,74
2026-03-27 00:00:00+00:00,75
2026-03-28 00:00:00+00:00,76
2026-03-30 00:00:00+00:00,77
2026-04-01 00:00:00+00:00,78
2026-04-04 00:00:00+00:00,79
2026-04-06 00:00:00+00:00,80
2026-04-07 00:00:00+00:00,81
2026-04-08 00:00:00+00:00,83
2026-04-09 00:00:00+00:00,85
2026-04-10 00:00:00+00:00,87
2026-04-12 00:00:00+00:00,88
2026-04-15 00:00:00+00:00,89
2026-04-16 00:00:00+00:00,90
2026-04-17 00:00:00+00:00,91
2026-04-18 00:00:00+00:00,93
2026-04-20 00:00:00+00:00,94
2026-04-21 00:00:00+00:00,96
2026-04-24 00:00:00+00:00,98
2026-04-25 00:00:00+00:00,99
2026-04-26 00:00:00+00:00,100
2026-04-27 00:00:00+00:00,101
2026-04-28 00:00:00+00:00,102
2026-04-29 00:00:00+00:00,103
2026-04-30 00:00:00+00:00,104
2026-05-01 00:00:00+00:00,106
2026-05-03 00:00:00+00:00,107
2026-05-06 00:00:00+00:00,113
2026-05-07 00:00:00+00:00,114
2026-05-08 00:00:00+00:00,120
2026-05-09 00:00:00+00:00,122
2026-05-10 00:00:00+00:00,127
2026-05-11 00:00:00+00:00,129
2026-05-12 00:00:00+00:00,134
2026-05-13 00:00:00+00:00,142
2026-05-14 00:00:00+00:00,152
2026-05-15 00:00:00+00:00,160
2026-05-16 00:00:00+00:00,165
2026-05-17 00:00:00+00:00,169
2026-05-18 00:00:00+00:00,172
2026-05-19 00:00:00+00:00,176
2026-05-20 00:00:00+00:00,183
2026-05-21 00:00:00+00:00,185
2026-05-22 00:00:00+00:00,188
2026-05-23 00:00:00+00:00,190
2026-05-25 00:00:00+00:00,195
2026-05-26 00:00:00+00:00,196
2026-05-27 00:00:00+00:00,198
2026-05-29 00:00:00+00:00,202
2026-05-30 00:00:00+00:00,208
2026-05-31 00:00:00+00:00,216
2026-06-01 00:00:00+00:00,217
2026-06-02 00:00:00+00:00,220
2026-06-03 00:00:00+00:00,223
2026-06-04 00:00:00+00:00,228
2026-06-05 00:00:00+00:00,230
2026-06-06 00:00:00+00:00,232
2026-06-08 00:00:00+00:00,233
2026-06-09 00:00:00+00:00,234
2026-06-10 00:00:00+00:00,235
2026-06-11 00:00:00+00:00,237
2026-06-12 00:00:00+00:00,239
2026-06-13 00:00:00+00:00,241
2026-06-14 00:00:00+00:00,253
2026-06-15 00:00:00+00:00,261
2026-06-16 00:00:00+00:00,267
2026-06-17 00:00:00+00:00,270
2026-06-18 00:00:00+00:00,273
2026-06-19 00:00:00+00:00,274
2026-06-21 00:00:00+00:00,275
2026-06-22 00:00:00+00:00,277
2026-06-23 00:00:00+00:00,279
2026-06-26 00:00:00+00:00,281
2026-06-27 00:00:00+00:00,284
2026-06-28 00:00:00+00:00,285
2026-06-29 00:00:00+00:00,286
2026-07-01 00:00:00+00:00,288
2026-07-02 00:00:00+00:00,289
2026-07-03 00:00:00+00:00,291
2026-07-05 00:00:00+00:00,293
2026-07-07 00:00:00+00:00,295
2026-07-08 00:00:00+00:00,296
2026-07-09 00:00:00+00:00,298
2026-07-10 00:00:00+00:00,300
2026-07-11 00:00:00+00:00,302
